"date","home.team","home.score","away.team","away.score","home.adv","away.adv","pred.home.score","pred.away.score","home.residuals","away.residuals","home.attack","home.defend","away.attack","away.defend","home.win","away.win","tie","home.shutout","away.shutout"
2013-06-23,"FC Kansas City",,"Washington Spirit",,"home","away",1.38543234119408,0.598464866173365,,,0.265505249036695,-0.830964534406757,0.317577075563986,-0.0149430729207164,56.296,15.982,27.722,25.04,55.008
2013-06-23,"Western NY Flash",,"Seattle Reign",,"home","away",2.47333306172628,0.554318469221424,,,0.585200973763004,-0.394293912908924,-0.19572199030101,0.244915610415462,79.432,6.389,14.179,8.356,57.465
2013-06-26,"Boston Breakers",,"Seattle Reign",,"home","away",2.88489767281513,0.822240793821473,,,0.739123745702108,0,-0.19572199030101,0.244915610415462,79.505,7.731,12.764,5.509,44.163
2013-06-26,"Sky Blue FC",,"FC Kansas City",,"home","away",0.974816830084835,0.498192139229102,,,0.730008767675139,-0.962274703659065,0.265505249036695,-0.830964534406757,46.286,18.237,35.477,37.731,60.925
2013-06-28,"Western NY Flash",,"Washington Spirit",,"home","away",1.90733689890753,0.926152068158671,,,0.585200973763004,-0.394293912908924,0.317577075563986,-0.0149430729207164,60.383,17.669,21.948,14.721,39.311
2013-06-29,"Seattle Reign",,"Chicago Red Stars",,"home","away",0.92803051912004,1.52137206238262,,,-0.19572199030101,0.244915610415462,0.174696989898941,0.0455812560285756,23.135,51.031,25.834,39.248,21.64
2013-06-30,"Boston Breakers",,"Sky Blue FC",,"home","away",0.862689120956757,2.07509880138654,,,0.739123745702108,0,0.730008767675139,-0.962274703659065,14.684,65.296,20.02,41.995,12.54
2013-06-30,"FC Kansas City",,"Portland Thorns",,"home","away",0.714767510848885,0.595921233753877,,,0.265505249036695,-0.830964534406757,0.313317755625235,-0.676753272371129,33.793,26.535,39.672,48.972,55.148
2013-07-03,"Seattle Reign",,"Boston Breakers",,"home","away",0.886679301838289,2.67524069601192,,,-0.19572199030101,0.244915610415462,0.739123745702108,0,9.964,75.253,14.783,41.053,6.895
2013-07-03,"Washington Spirit",,"FC Kansas City",,"home","away",0.645366191632374,1.28474746805031,,,0.317577075563986,-0.0149430729207164,0.265505249036695,-0.830964534406757,18.601,52.005,29.394,52.732,27.774
2013-07-04,"Chicago Red Stars",,"Western NY Flash",,"home","away",0.865760603085391,1.87907987678566,,,0.174696989898941,0.0455812560285756,0.585200973763004,-0.394293912908924,16.84,61.244,21.916,42.087,15.382
2013-07-06,"Portland Thorns",,"Boston Breakers",,"home","away",1.47516202341737,1.06435658742561,,,0.313317755625235,-0.676753272371129,0.739123745702108,0,46.567,27.353,26.08,22.848,34.474
2013-07-06,"Sky Blue FC",,"Washington Spirit",,"home","away",2.20453316355063,0.524821209305933,,,0.730008767675139,-0.962274703659065,0.317577075563986,-0.0149430729207164,75.967,7.385,16.648,10.98,59.008
2013-07-07,"FC Kansas City",,"Western NY Flash",,"home","away",0.948058955463126,0.782107123970819,,,0.265505249036695,-0.830964534406757,0.585200973763004,-0.394293912908924,37.704,28.643,33.653,38.763,45.573
2013-07-10,"Washington Spirit",,"Chicago Red Stars",,"home","away",1.55054798337246,1.17322212541974,,,0.317577075563986,-0.0149430729207164,0.174696989898941,0.0455812560285756,46.172,28.786,25.042,21.226,31.114
2013-07-11,"Seattle Reign",,"Western NY Flash",,"home","away",0.597760068557286,2.29358612053133,,,-0.19572199030101,0.244915610415462,0.585200973763004,-0.394293912908924,8.036,75.912,16.052,54.876,10.083
2013-07-13,"Sky Blue FC",,"Boston Breakers",,"home","away",2.23772302503685,0.799994074707746,,,0.730008767675139,-0.962274703659065,0.739123745702108,0,70.085,11.998,17.917,10.778,44.906
2013-07-14,"Chicago Red Stars",,"FC Kansas City",,"home","away",0.559440853480773,1.36490728747341,,,0.174696989898941,0.0455812560285756,0.265505249036695,-0.830964534406757,15.124,56.664,28.212,57.092,25.43
2013-07-14,"Portland Thorns",,"Western NY Flash",,"home","away",0.99448915794348,0.91251359171332,,,0.313317755625235,-0.676753272371129,0.585200973763004,-0.394293912908924,36.14,32.048,31.812,37.229,40.194
2013-07-14,"Seattle Reign",,"Washington Spirit",,"home","away",0.873528092827412,1.75504182050141,,,-0.19572199030101,0.244915610415462,0.317577075563986,-0.0149430729207164,18.46,58.616,22.924,41.853,17.182
2013-07-20,"Chicago Red Stars",,"Washington Spirit",,"home","away",1.26516682568571,1.43786350043725,,,0.174696989898941,0.0455812560285756,0.317577075563986,-0.0149430729207164,32.986,41.043,25.971,28.328,23.699
2013-07-20,"FC Kansas City",,"Seattle Reign",,"home","away",1.79655498523771,0.358191856289403,,,0.265505249036695,-0.830964534406757,-0.19572199030101,0.244915610415462,72.989,6.559,20.452,16.474,69.556
2013-07-21,"Boston Breakers",,"Portland Thorns",,"home","away",1.14776956207604,1.36795613773242,,,0.739123745702108,0,0.313317755625235,-0.676753272371129,31.607,41.648,26.745,31.504,25.46
2013-07-21,"Western NY Flash",,"Sky Blue FC",,"home","away",0.739616363159187,1.39894006684074,,,0.585200973763004,-0.394293912908924,0.730008767675139,-0.962274703659065,19.644,52.567,27.789,47.772,24.855
2013-07-24,"FC Kansas City",,"Boston Breakers",,"home","away",1.40629041140278,0.912250378548188,,,0.265505249036695,-0.830964534406757,0.739123745702108,0,48.263,24.439,27.298,24.647,40.253
2013-07-25,"Seattle Reign",,"Chicago Red Stars",,"home","away",0.92803051912004,1.52137206238262,,,-0.19572199030101,0.244915610415462,0.174696989898941,0.0455812560285756,22.905,51.227,25.868,39.586,21.749
2013-07-27,"Washington Spirit",,"Boston Breakers",,"home","away",1.48145861050678,2.06304010241194,,,0.317577075563986,-0.0149430729207164,0.739123745702108,0,27.457,51.28,21.263,22.894,12.684
2013-07-28,"Portland Thorns",,"Chicago Red Stars",,"home","away",1.54395774835383,0.60528474276582,,,0.313317755625235,-0.676753272371129,0.174696989898941,0.0455812560285756,60.472,14.132,25.396,21.217,54.929
2013-07-28,"Sky Blue FC",,"FC Kansas City",,"home","away",0.974816830084835,0.498192139229102,,,0.730008767675139,-0.962274703659065,0.265505249036695,-0.830964534406757,46.046,18.333,35.621,37.72,60.705
2013-07-31,"Portland Thorns",,"Sky Blue FC",,"home","away",0.563545685916579,1.05469908136047,,,0.313317755625235,-0.676753272371129,0.730008767675139,-0.962274703659065,19.356,47.175,33.469,56.99,34.764
2013-07-31,"Western NY Flash",,"Washington Spirit",,"home","away",1.90733689890753,0.926152068158671,,,0.585200973763004,-0.394293912908924,0.317577075563986,-0.0149430729207164,60.239,17.803,21.958,14.869,39.444
2013-08-03,"Boston Breakers",,"Western NY Flash",,"home","away",1.52238762341317,1.79535176798552,,,0.739123745702108,0,0.585200973763004,-0.394293912908924,32.732,44.552,22.716,21.814,16.534
2013-08-03,"Chicago Red Stars",,"Seattle Reign",,"home","away",1.64060106023223,0.860586853837467,,,0.174696989898941,0.0455812560285756,-0.19572199030101,0.244915610415462,55.82,19.524,24.656,19.345,42.209
2013-08-03,"Sky Blue FC",,"Washington Spirit",,"home","away",2.20453316355063,0.524821209305933,,,0.730008767675139,-0.962274703659065,0.317577075563986,-0.0149430729207164,76.203,7.272,16.525,10.944,59.191
2013-08-04,"Portland Thorns",,"FC Kansas City",,"home","away",0.642623216296205,0.66282251576159,,,0.313317755625235,-0.676753272371129,0.265505249036695,-0.830964534406757,29.433,30.631,39.936,52.531,51.651
2013-08-07,"Boston Breakers",,"Portland Thorns",,"home","away",1.14776956207604,1.36795613773242,,,0.739123745702108,0,0.313317755625235,-0.676753272371129,31.481,41.995,26.524,31.678,25.439
2013-08-07,"Washington Spirit",,"Chicago Red Stars",,"home","away",1.55054798337246,1.17322212541974,,,0.317577075563986,-0.0149430729207164,0.174696989898941,0.0455812560285756,45.813,28.815,25.372,21.24,30.862
2013-08-07,"Western NY Flash",,"Seattle Reign",,"home","away",2.47333306172628,0.554318469221424,,,0.585200973763004,-0.394293912908924,-0.19572199030101,0.244915610415462,79.442,6.536,14.022,8.442,57.141
2013-08-10,"Boston Breakers",,"FC Kansas City",,"home","away",0.98374288265786,1.30408969941901,,,0.739123745702108,0,0.265505249036695,-0.830964534406757,27.889,44.181,27.93,37.642,27.088
2013-08-10,"Chicago Red Stars",,"Sky Blue FC",,"home","away",0.490599267984213,2.17187320588581,,,0.174696989898941,0.0455812560285756,0.730008767675139,-0.962274703659065,7.02,76.436,16.544,61.344,11.548
2013-08-10,"Washington Spirit",,"Seattle Reign",,"home","away",1.8925833743504,0.810045335424737,,,0.317577075563986,-0.0149430729207164,-0.19572199030101,0.244915610415462,63.006,15.236,21.758,15.072,44.556
2013-08-10,"Western NY Flash",,"Portland Thorns",,"home","away",0.984026723677726,0.922215679309302,,,0.585200973763004,-0.394293912908924,0.313317755625235,-0.676753272371129,35.822,32.373,31.805,37.374,39.784
2013-08-17,"Seattle Reign",,"Portland Thorns",,"home","away",0.450667623385124,1.74758243311794,,,-0.19572199030101,0.244915610415462,0.313317755625235,-0.676753272371129,8.867,69.696,21.437,63.717,17.204
2013-08-17,"Western NY Flash",,"Boston Breakers",,"home","away",1.93605238775976,1.41174966572923,,,0.585200973763004,-0.394293912908924,0.739123745702108,0,50.127,28.11,21.763,14.324,24.559
2013-08-18,"FC Kansas City",,"Chicago Red Stars",,"home","away",1.47187423662865,0.518784063762984,,,0.265505249036695,-0.830964534406757,0.174696989898941,0.0455812560285756,60.804,13.049,26.147,22.944,59.386
2013-08-18,"Washington Spirit",,"Sky Blue FC",,"home","away",0.565951126426779,2.04432097901189,,,0.317577075563986,-0.0149430729207164,0.730008767675139,-0.962274703659065,9.161,72.066,18.773,56.897,12.884
